A&A......	A & A
A&A......	A&A
A&A......	AA
A&A......	AAp
A&A......	AP&A
A&A......	A__amp__amp;A
A&A......	A__amp__amp;A,
A&A......	Astr. & Ap.
A&A......	Astr. Ap.
A&A......	Astr. and Ap.
A&A......	Astro. & Astrophys.
A&A......	Astro. Astrophys.
A&A......	Astro. and Astrophys.
A&A......	Astron Astrophys.
A&A......	Astron and Astrophys. 
A&A......	Astron. & Astrophys.
A&A......	Astronom. Astrophys.
A&A......	Astronomy & Astrophysics
A&A......	Astronomy Astrophysics
A&A......	Astronomy and Astrophysics
A&ARv....	A&A Rev.
A&ARv....	A&A Review
A&ARv....	A&AR
A&ARv....	A__amp__amp;AR
A&ARv....	Astron. Astrophys. Rev.
A&ARv....	Astronomy & Astrophysics Review
A&ARv....	Astronomy and Astrophysics Review
A&AS.....	A&A Supp. Ser.
A&AS.....	A&A Suppl
A&AS.....	A&A Suppl. Ser.
A&AS.....	A&A Supplement
A&AS.....	A&A Supplement Series
A&AS.....	A&AS
A&AS.....	A&ASS
A&AS.....	AAPS
A&AS.....	Astr. & Ap. Suppl.
A&AS.....	Astr. Ap. Suppl.
A&AS.....	Astr. and Ap. Suppl.
A&AS.....	Astron. & Astrophys. Supp.
A&AS.....	Astron. & Astrophys. Suppl.
A&AS.....	Astron. & Astrophys. Suppl. Ser.
A&AS.....	Astron. & Astrophys. Supplement
A&AS.....	Astron. & Astrophys. Supplement Series
A&AS.....	Astron. Astrophys. Supp.
A&AS.....	Astron. Astrophys. Suppl.
A&AS.....	Astron. Astrophys. Suppl. Ser.
A&AS.....	Astron. Astrophys. Supplement
A&AS.....	Astron. Astrophys. Supplement Series
A&AS.....	Astron. and Astrophys. Supp.
A&AS.....	Astron. and Astrophys. Suppl.
A&AS.....	Astron. and Astrophys. Suppl. Ser.
A&AS.....	Astron. and Astrophys. Supplement
A&AS.....	Astron. and Astrophys. Supplement Series
A&AT.....	Astron. & Astrop. Transac.
AAMOP....	Adv. At. Mol. Opt. Phys.
AASPB....	AMER. ASTRON. SOC. PHOTO BULL.
AASPB....	AMER. ASTRON. SOC. PHOTO BULLETIN
ABTad....	Akademiia Nauk Tadzhikskoi SSR Institut Astrofiziki Biulleten
ACMFE....	Aquatic Conservation: Marine and Freshwater Ecosystems
ACP......	ATMOS CHEM PHYS
ADCBu....	ASTRONOMICAL DATA CENTER BULLETIN
ADIEP....	Advances in Imaging and Electron Physics
ADNDT....	At Data Nucl Data Tables
ADNDT....	At. Data Nucl. Data Tables
ADNDT....	Atomic Data Nucl. Data
ADUrb....	University of Illinois Astronomy Department Urbana Illinois
AE&AT....	Aircraft Engineering & Aerospace Technology
AEdRv....	AER
AExpr....	ASTRONOMY EXPRESS
AGp......	Annals of Geophysics
AIAAJ....	AIAA J.
AICSP....	Analog Integrated Circuits and Signal Processing
AIChE....	AIChE J
AIChE....	AIChE J.
AIChE....	AIChE Journal
AIChE....	Am. Inst. Chem. Eng. J.
AIHAJ....	AIHA J.
AIPBB....	Archives Internationales de Physiologie de Biochimie et de Biophysique
AIPC.....	AIP Conf. Proc.
AIPC.....	AIP Conf. Proc. Vol.
AIPC.....	AIP Conf. Ser.
AIPC.....	AIP Conference Proceedings
AISAO....	ASTROF. ISSLED. IZV. SPETS. ASTR. OBS.
AJ.......	A. J.
AJ.......	A. Journ.
AJ.......	ASTRONOMICAL JOURNAL
AJ.......	Astr. J.
AJ.......	Astr. Journal
AJ.......	Astron J.
AJ.......	Astron. J
AJ.......	Astron. J.
AJ.......	Astron. J. 
AJ.......	Astron. Journ. 
AJ.......	Astron. ourn. 
AJ.......	Astronom. J.
AJ.......	II. Astron. J.
AJPat....	Am. J. Pathol.
AJSR.....	Aust. J. Soil Res.
AJSR.....	Australian Journal of Soil Research
AN.......	A. N.
AN.......	ASTRONOMICSHE NACHRICHTEN
AN.......	ASTRONOMISCHE NACHRICHTEN
AN.......	Astr. Nachr.
AN.......	Astron. Nach.
AN.......	Astron. Nachr.
AN.......	Astron. Nachrichten
AN.......	Astronomische Nachr.
ANS......	Astron. Nachr. Suppl.
ANZi.....	Beobachtungs-Zirkulare der Astr. Nachr.
ANote....	Astronomical Notes University of Gothenburg Sweden Section of Astronomy
APASH....	Acta Physica Academiae Scientiarum Hungaricae
APEC.....	Active and Passive Electronic Components
APh......	Astropart Phys
APh......	Astropart. Phys.
ARA&A....	A. Rev. Astr. Astrophys.
ARA&A....	ANNUAL REVIEW ASTRON. AND ASTROPHYSICS
ARA&A....	ANNUAL REVIEW OF ASTRON. AND ASTROPHYSICS
ARA&A....	ARA&A
ARA&A....	ARA&amp;A
ARA&A....	ARAA
ARA&A....	ARA__amp__amp;A
ARA&A....	Ann. Rev. Astron. Ap.
ARA&A....	Ann. Rev. Astron. Astrophys.
ARA&A....	Annu. Rev. Astron. Astrophys.
ARCP.....	Annual Reviews of Computational Physics
AREPS....	Ann. Rev. Earth Planet. Sci.
AREPS....	Ann. Rev. Earth Planet. Sci. Lett.
AREPS....	Ann. Rev. Earth. Planet. Sci.
AREPS....	Annu. Rev. Earth Plan. Sci.
AREPS....	Annu. Rev. Earth Planet Sci.
AREPS....	Annu. Rev. Earth Planet. Sci.
AREPS....	Annu. Rev. Earth. Planet. Sci.
ARKod....	Annual Report of the Kodaikanal Observatory
ARNPS....	Ann. Rev. Nucl. Part. Sci.
ARNPS....	Ann. Rev. Nucl. Part. Sci. Lett.
ARNPS....	Ann. Rev. Nucl. Sci.
ARNPS....	Annu. Rev. Nucl. Part. Sci.
ARNPS....	Annu. Rev. Nucl. Part. Sci. Lett.
ARNPS....	Annu. Rev. Nucl. Sci.
ARPC.....	Ann. Rev. Phys. Chem.
ARep.....	ASTR. REPORTS (TR:A.ZHURN.)
ARep.....	ASTRONOMY REP. (TR:A.ZHURN.)
ARep.....	ASTRONOMY REPORTS
ARep.....	ASTRONOMY REPORTS (TR: A. ZHURNAL)
ARep.....	ASTRONOMY REPORTS (TRANS.: ASTRON.ZHURN.)
ARep.....	Astron. Rep.
AS&T.....	Aerosol Science & Technology
ASAJ.....	J. Acoust Soc Am
ASAJ.....	J. Acoust. Soc. Am.
ASDHE....	Advanced Series on Directions in High Energy Physics
ASPC.....	ASP Conf.
ASPC.....	ASP Conf. Ser.
ASPC.....	ASP Conf. Ser. Vol.
ASPC.....	ASP Conf. Series
ASPC.....	ASP Conference Series
ASPC.....	Astron. Soc. Pac. (ASP) Conf. Ser.
ASPC.....	Astron. Soc. Pac. Conf.
ASPC.....	Astron. Soc. Pac. Conf. Series
ASPC.....	Astron. Soc. Pacific Conf. Series
ASPL.....	Astr. Soc. Pacific, Leaflet No.
