nonB..001	Aging Cell
nonB..002	Annual Review of Plant Biology
nonB..002	ANNU REV PLANT BIOL
nonB..003	Autophagy
nonB..004	Biochemical Genetics
nonB..004	BIOCHEM GENET
nonB..005	Biochemistry and Cell Biology
nonB..005	BIOCHEM CELL BIOL
nonB..006	Biology of the Cell
nonB..006	BIOL CELL
nonB..007	Cell and Tissue Research
nonB..007	CELL TISSUE RES
nonB..008	Cell Biochemistry & Function
nonB..008	CELL BIOCHEM FUNCT
nonB..009	Cell Biochemistry and Biophysics
nonB..009	CELL BIOCHEM BIOPHYS
nonB..010	Cell Biology International
nonB..010	CELL BIOL INT
nonB..011	Cell Calcium
nonB..012	Cell Cycle
nonB..013	Cell Death & Differentiation
nonB..013	CELL DEATH DIFFER
nonB..014	Cell Proliferation
nonB..014	CELL PROLIFERAT
nonB..015	Cell Research
nonB..015	CELL RES
nonB..016	Cellular and Molecular Life Sciences
nonB..016	CELL MOL LIFE SCI
nonB..017	Cellular Physiology and Biochemistry
nonB..017	CELL PHYSIOL BIOCHEM
nonB..018	Cellular Signalling
nonB..018	CELL SIGNAL
nonB..019	Current Issues in Molecular Biology
nonB..019	CURR ISSUE MOL BIOL
nonB..020	Current Opinion in Cell Biology
nonB..020	CURR OPIN CELL BIOL
nonB..021	Cytogenetic and Genome Research
nonB..021	CYTOGENET GENOME RES
nonB..022	Cytotherapy
nonB..023	Developmental Cell
nonB..023	DEV CELL
nonB..024	DNA Repair
nonB..024	REPAIR
nonB..025	EMBO Molecular Medicine
nonB..025	EMBO MOL MED
nonB..026	EMBO Reports
nonB..026	EMBO REP
nonB..027	European Journal of Cell Biology
nonB..027	EUR J CELL BIOL
nonB..028	Experimental Cell Research
nonB..028	EXP CELL RES
nonB..029	FEBS Letters
nonB..029	FEBS LETT
nonB..030	FEBS Open Bio
nonB..030	FEBS OPEN
nonB..031	Genetic Testing and Molecular Biomarkers
nonB..031	GENET TEST MOL BIOMAR
nonB..032	Growth Factors
nonB..033	Histochemistry and Cell Biology
nonB..033	HISTOCHEM CELL BIOL
nonB..034	In Vitro Cellular & Developmental Biology – Animal
nonB..034	VITRO CELL DEV BIOL ANIM
nonB..035	In Vitro Cellular & Developmental Biology – Plant
nonB..035	VITRO CELL DEV BIOL PLANT
nonB..036	International Review of Cell and Molecular Biology
nonB..036	INT REV CELL MOL BIOL
nonB..037	Journal of Cell and Molecular Biology
nonB..037	J CELL MOL BIOL
nonB..038	Journal of Cell Biology
nonB..038	J CELL BIOL
nonB..039	Journal of Cellular and Molecular Medicine
nonB..039	J CELL MOL MED
nonB..040	Journal of Cellular Biochemistry
nonB..040	J CELL BIOCHEM
nonB..041	Journal of Cellular Physiology
nonB..041	J CELL PHYSIOL
nonB..042	Molecular and Cellular Biochemistry
nonB..042	MOL CELL BIOCHEM
nonB..043	Molecular and Cellular Biology
nonB..043	MOL CELL BIOL
nonB..044	Molecular Biology and Evolution
nonB..044	MOL BIOL EVOL
nonB..045	Molecular Biology of the Cell
nonB..045	MOL BIOL CELL
nonB..046	Molecular Biology Reports
nonB..046	MOL BIOL REP
nonB..047	Molecular Cell
nonB..047	MOL CELL
nonB..048	Molecular Endocrinology
nonB..048	MOL ENDOCRINOL
nonB..049	Molecular Membrane Biology
nonB..049	MOL MEMBR BIOL
nonB..050	Nature Cell Biology
nonB..050	NAT CELL BIOL
nonB..051	Nature Reviews Molecular Cell Biology
nonB..051	NAT REV MOL CELL BIOL
nonB..052	Oncogenesis
nonB..053	Protein & Cell
nonB..053	PROT CELL
nonB..054	Science Signaling
nonB..054	SCI SIGNAL
nonB..055	Seminars in Cell and Developmental Biology
nonB..055	SEMIN CELL DEV BIOL
nonB..056	Stem Cell Research
nonB..056	STEM CELL RES
nonB..057	Stem Cells and Development
nonB..057	STEM CELL DEV
nonB..058	Structured digital abstract
nonB..058	STRUCT DIGIT ABSTR
nonB..059	Systems and Synthetic Biology
nonB..059	SYS SYST BIOL
nonB..060	The EMBO Journal
nonB..060	EMBO J
nonB..061	The Journal of Molecular Diagnostics
nonB..061	J MOL DIAGN
nonB..062	The Journal of Steroid Biochemistry and Molecular Biology
nonB..062	J STEROID BIOCHEM MOL BIOL
nonB..063	Transcription
nonB..063	TRANSCR
nonB..064	Transgenic Research
nonB..064	TRANSGENIC RES
nonB..065	Trends in Cell Biology
nonB..065	TRENDS CELL BIOL
nonC..001	Accounts of Chemical Research
nonC..001	ACCOUNTS CHEM RES
nonC..002	Acta Chemica Scandinavica
nonC..002	ACTA CHEM SCAND
nonC..003	Acta Chimica Slovenica
nonC..003	ACTA CHIM SLOV
nonC..004	Aldrichimica Acta
nonC..004	ALDRICHIM ACTA
nonC..005	Annual Reports Section A
nonC..005	ANNU REP SECT A
nonC..006	Annual Reports Section B
nonC..006	ANNU REP SECT B
nonC..007	Annual Reports Section C
nonC..007	ANNU REP SECT C
nonC..008	Applied Catalysis A: General
nonC..008	APPL CATAL A GEN
nonC..009	Applied Organometallic Chemistry
nonC..009	APPL ORGANOMET CHEM
nonC..010	Arkivoc (Archive for Organic Chemistry)
nonC..010	ARKIVOC ARCH ORG CHEM
nonC..011	Australian Journal of Education in Chemistry
nonC..011	AUST J EDUC CHEM
nonC..012	Beilstein Journal of Organic Chemistry
nonC..012	BEILSTEIN J ORG CHEM
nonC..013	Biochemical Journal
nonC..013	BIOCHEM J
nonC..014	Bioconjugate Chemistry
nonC..014	BIOCONJUGATE CHEM
nonC..015	Biomacromolecules
nonC..015	BIOMACROMOL
nonC..016	Biomedical Chromatography
nonC..016	BIOMED CHROMATOGR
nonC..017	Bioorganic & Medicinal Chemistry
nonC..017	BIOORG MED CHEM
nonC..018	Bioorganic & Medicinal Chemistry Letters
nonC..018	BIOORG MED CHEM LETT
nonC..019	Bulletin of the Chemical Society of Japan
nonC..019	B CHEM SOC JPN
nonC..020	Catalysis Science & Technology
nonC..020	CATAL SCI TECHNOL
nonC..021	Catalysts and Catalysed Reactions
nonC..021	CATAL CATAL REACT
nonC..022	Central European Journal of Chemistry
nonC..022	CENT EUR J CHEM
nonC..023	ChemBioChem
nonC..024	Chemik Polski
nonC..025	Chemische Berichte
nonC..025	CHEM BER
